"Clip.ID"	"Tags"
"ACP000e0tu"	""
"ACP000e0vv"	""
"ACP000e0vw"	""
"ACP000e0vx"	""
"ACP000e0vy"	""
"ACP000e0wj"	""
"ACP000e0wk"	""
"ACP000e0wm"	""
"ACP000e0wo"	""
"ACP000e0xz"	"agedviolet:1;mongoose:1"
"ACP000e0y1"	"mongoose:2;agedviolet:1"
"ACP000e0y3"	""
"ACP000e0y5"	""
"ACP000e0yj"	""
"ACP000e0yk"	""
"ACP000e0yl"	""
"ACP000e0ym"	""
"ACP000e0yn"	""
"ACP000e0yo"	""
"ACP000e0yp"	""
"ACP000e0yq"	""
"ACP000e0ys"	""
"ACP000e0yu"	""
"ACP000e0yw"	""
"ACP000e0yy"	""
"ACP000e10f"	""
"ACP000e10g"	""
"ACP000e10h"	""
"ACP000e10i"	""
"ACP000e12j"	""
"ACP000e12k"	"agedviolet:1;bat:1"
"ACP000e12l"	""
"ACP000e12m"	""
"ACP000e12n"	""
"ACP000e12o"	""
"ACP000e12p"	""
"ACP000e12q"	""
"ACP000e12r"	""
"ACP000e12s"	""
"ACP000e12t"	""
"ACP000e12u"	""
"ACP000e13e"	"agedviolet:1;slender-tailed_squirrel:1;squirrel:1"
"ACP000e13f"	""
"ACP000e13h"	""
"ACP000e13i"	""
"ACP000e13j"	""
"ACP000e13k"	""
"ACP000e13l"	""
"ACP000e13m"	""
"ACP000e13n"	"agedviolet:1;zebra_duiker:1"
"ACP000e13o"	"agedviolet:1;zebra_duiker:1"
"ACP000e13p"	""
"ACP000e13q"	""
"ACP000e13z"	""
"ACP000e140"	""
"ACP000e141"	""
"ACP000e142"	""
"ACP000e14q"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e14s"	""
"ACP000e14t"	""
"ACP000e14u"	""
"ACP000e14v"	""
"ACP000e14w"	""
"ACP000e14x"	""
"ACP000e14y"	""
"ACP000e167"	""
"ACP000e168"	""
"ACP000e169"	""
"ACP000e16a"	""
"ACP000e16j"	"agedviolet:1;brookes_duiker:1"
"ACP000e16l"	""
"ACP000e16n"	""
"ACP000e16p"	""
"ACP000e171"	""
"ACP000e173"	""
"ACP000e175"	""
"ACP000e176"	""
"ACP000e17j"	"agedviolet:1;brookes_duiker:1"
"ACP000e17k"	""
"ACP000e17l"	""
"ACP000e17m"	""
"ACP000e18j"	""
"ACP000e18k"	"agedviolet:1;small_grey_duikerv:1"
"ACP000e18l"	"agedviolet:1;small_grey_duiker:1"
"ACP000e18m"	""
"ACP000e18z"	"brookes_duiker:1;agedviolet:1;duiker:1"
"ACP000e190"	""
"ACP000e191"	""
"ACP000e192"	""
"ACP000e19n"	""
"ACP000e19o"	""
"ACP000e19q"	""
"ACP000e19s"	""
"ACP000e1ar"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e1as"	""
"ACP000e1at"	"agedviolet:1;monkey:1"
"ACP000e1au"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e1bi"	""
"ACP000e1bk"	""
"ACP000e1bl"	""
"ACP000e1bm"	""
"ACP000e1bn"	""
"ACP000e1bo"	""
"ACP000e1bp"	""
"ACP000e1bq"	""
"ACP000e1e7"	"front_side:1;right_side:1;agedviolet:1;leopard:1"
"ACP000e1e8"	""
"ACP000e1e9"	""
"ACP000e1ea"	""
"ACP000e1ej"	"agedviolet:1;brookes_duiker:1"
"ACP000e1el"	""
"ACP000e1en"	""
"ACP000e1ep"	""
"ACP000e1er"	""
"ACP000e1et"	""
"ACP000e1ev"	""
"ACP000e1ex"	""
"ACP000e1fb"	"agedviolet:1;human:1"
"ACP000e1fc"	""
"ACP000e1fe"	""
"ACP000e1fg"	""
"ACP000e1fz"	""
"ACP000e1g0"	""
"ACP000e1g1"	""
"ACP000e1g2"	""
"ACP000e1gk"	"male:1;leomaleav05:1;vocalization:1;off_vocalization:1;dailyzoo:1;agedviolet:1;kito:1;leopard:1"
"ACP000e1gm"	"leomaleav05:1;agedviolet:1;kito:1;leopard:1"
"ACP000e1go"	""
"ACP000e1gq"	""
"ACP000e1hj"	""
"ACP000e1hk"	""
"ACP000e1hm"	""
"ACP000e1ho"	""
"ACP000e1hr"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1hs"	""
"ACP000e1hu"	""
"ACP000e1hw"	""
"ACP000e1in"	""
"ACP000e1io"	""
"ACP000e1ip"	""
"ACP000e1iq"	""
"ACP000e1jf"	"agedviolet:1;bay_duiker:1"
"ACP000e1jg"	""
"ACP000e1jh"	""
"ACP000e1ji"	""
"ACP000e1kn"	""
"ACP000e1ko"	""
"ACP000e1kq"	""
"ACP000e1ks"	""
"ACP000e1kv"	"agedviolet:1;small-grey_duiker:1"
"ACP000e1kw"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1kx"	""
"ACP000e1ky"	""
"ACP000e1lb"	"agedviolet:1;duiker:1"
"ACP000e1lc"	""
"ACP000e1ld"	""
"ACP000e1le"	""
"ACP000e1m7"	""
"ACP000e1m8"	""
"ACP000e1m9"	""
"ACP000e1ma"	""
"ACP000e1mn"	"agedviolet:1;bay_duiker:1"
"ACP000e1mo"	"agedviolet:1;bay_duiker:1"
"ACP000e1mp"	""
"ACP000e1mq"	""
"ACP000e1o7"	"agedviolet:1;jentinks_duiker:1"
"ACP000e1o8"	""
"ACP000e1o9"	""
"ACP000e1oa"	""
"ACP000e1ob"	""
"ACP000e1oc"	""
"ACP000e1od"	""
"ACP000e1oe"	""
"ACP000e1qp"	""
"ACP000e1qr"	""
"ACP000e1qt"	"repeated:1;agedviolet:1;duiker:1"
"ACP000e1qu"	""
"ACP000e1rb"	""
"ACP000e1rc"	"porcupine:1;brush-tailed:1;agedviolet:1;small_grey_duiker:1"
"ACP000e1rd"	"agedviolet:1;porcupine:1;brush_tailed:1"
"ACP000e1rf"	""
"ACP000e1sd"	""
"ACP000e1se"	""
"ACP000e1sf"	"need_id:1;creepy:1"
"ACP000e1sg"	""
"ACP000e1t9"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1ta"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1tb"	""
"ACP000e1tc"	""
"ACP000e1tx"	""
"ACP000e1ty"	""
"ACP000e1tz"	""
"ACP000e1u0"	""
"ACP000e1ul"	""
"ACP000e1um"	""
"ACP000e1un"	""
"ACP000e1uo"	""
"ACP000e1vl"	"brush-tailed:2;agedviolet:1;porcupine:1"
"ACP000e1vm"	""
"ACP000e1vn"	""
"ACP000e1vo"	""
"ACP000e1xj"	""
"ACP000e1xl"	""
"ACP000e1xn"	""
"ACP000e1xo"	""
"ACP000e1xt"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1xv"	"agedviolet:1;small_grey_duiker:1"
"ACP000e1xx"	""
"ACP000e1y0"	""
"ACP000e209"	"repeated:1"
"ACP000e20a"	""
"ACP000e20b"	""
"ACP000e20c"	""
"ACP000e21a"	""
"ACP000e21c"	""
"ACP000e21f"	"agedviolet:1;small_grey_duiker:1"
"ACP000e21j"	""
"ACP000e21x"	""
"ACP000e21y"	""
"ACP000e220"	""
"ACP000e222"	""
"ACP000e22l"	""
"ACP000e22m"	""
"ACP000e22n"	""
"ACP000e22o"	""
"ACP000e23h"	"dailyzoo:1;agedviolet:1;king_colobus:1"
"ACP000e23i"	"king_colobus:2;agedviolet:1"
"ACP000e23j"	"agedviolet:1;king_colobus:1"
"ACP000e23k"	""
"ACP000e259"	"agedviolet:1;bird:1"
"ACP000e25a"	""
"ACP000e25b"	""
"ACP000e25c"	""
"ACP000e25d"	"agedviolet:1;squirrel:1"
"ACP000e25e"	""
"ACP000e25f"	""
"ACP000e25g"	""
"ACP000e26l"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e26m"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e26o"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e26q"	"carrying_young:1;sooty:1;agedviolet:1;mangabey:1"
"ACP000e26t"	""
"ACP000e26u"	""
"ACP000e26v"	""
"ACP000e26w"	""
"ACP000e27t"	""
"ACP000e27u"	"fire-footed_rope_squirrel:1;agedviolet:1;squirrel:1"
"ACP000e27v"	""
"ACP000e27w"	"squirrel:1"
"ACP000e2ax"	""
"ACP000e2az"	""
"ACP000e2b1"	""
"ACP000e2b3"	""
"ACP000e2bt"	""
"ACP000e2bw"	""
"ACP000e2bz"	""
"ACP000e2c2"	""
"ACP000e2ct"	"agedviolet:1;brookes_duiker:1"
"ACP000e2cu"	""
"ACP000e2cv"	""
"ACP000e2cw"	""
"ACP000e2dh"	""
"ACP000e2di"	""
"ACP000e2dj"	""
"ACP000e2dk"	""
"ACP000e2e2"	""
"ACP000e2e4"	""
"ACP000e2e6"	""
"ACP000e2e8"	""
"ACP000e2eh"	""
"ACP000e2ei"	""
"ACP000e2ej"	""
"ACP000e2ek"	"agedviolet:2;bird:1;nkulengu:1;agv:1;rail:1;nkulengu-rail:1"
"ACP000e2ex"	""
"ACP000e2ey"	""
"ACP000e2f0"	""
"ACP000e2f4"	""
"ACP000e2fl"	"agedviolet:1;genet:1"
"ACP000e2fm"	""
"ACP000e2fn"	""
"ACP000e2fo"	""
"ACP000e2fp"	"agedviolet:2;genet:1;need_id:1"
"ACP000e2fq"	""
"ACP000e2fr"	""
"ACP000e2fs"	""
"ACP000e2g5"	"behaviour:1;agedviolet:1;agv:1;genet:1"
"ACP000e2g6"	"agedviolet:1;genet:1"
"ACP000e2g7"	""
"ACP000e2g8"	""
"ACP000e2ga"	""
"ACP000e2gc"	""
"ACP000e2ge"	""
"ACP000e2gg"	""
"ACP000e2gx"	"agedviolet:1;squirrel:1"
"ACP000e2gz"	""
"ACP000e2h1"	""
"ACP000e2h3"	""
"ACP000e2ht"	"agedviolet:2;rope_squirrel:1;fire-footed_rope_squirrel:1;squirrel:1;rodent:1"
"ACP000e2hu"	"squirrel:1;fire-footed_rope_squirrel:1;agedviolet:1"
"ACP000e2hv"	"squirrel:1;fire-footed_rope_squirrel:1;agedviolet:1"
"ACP000e2hw"	"agedviolet:1;bird:1"
"ACP000e2il"	"squirrel:3;agedviolet:1"
"ACP000e2im"	""
"ACP000e2in"	""
"ACP000e2io"	""
"ACP000e2is"	""
"ACP000e2iu"	""
"ACP000e2iv"	""
"ACP000e2iw"	""
"ACP000e2jh"	""
"ACP000e2ji"	""
"ACP000e2jk"	""
"ACP000e2jn"	""
"ACP000e2kh"	""
"ACP000e2kk"	""
"ACP000e2kn"	""
"ACP000e2ko"	""
"ACP000e2q5"	"agedviolet:2;small_grey_duiker:1;duiker:1"
"ACP000e2q6"	""
"ACP000e2q7"	""
"ACP000e2q8"	""
"ACP000e2qx"	""
"ACP000e2qy"	""
"ACP000e2qz"	""
"ACP000e2r0"	""
"ACP000e2sh"	"agedviolet:1;small_grey_duiker:1"
"ACP000e2si"	"agedviolet:1;small_grey_duiker:1"
"ACP000e2sj"	"agedviolet:1;small_grey_duiker:1"
"ACP000e2sl"	""
"ACP000e2sm"	""
"ACP000e2so"	""
"ACP000e2sq"	""
"ACP000e2ss"	""
"ACP000e2tc"	"agedviolet:1;brookes_duiker:1"
"ACP000e2te"	""
"ACP000e2tf"	"agedviolet:1;brookes_duiker:1"
"ACP000e2tg"	""
"ACP000e2th"	"social_interaction:1;agedviolet:1;small_grey_duiker:1"
"ACP000e2ti"	"agedviolet:1;social_interaction:1;small_grey_duiker:1"
"ACP000e2tk"	"agedviolet:1;grooming:1;2_small_grey_duikers:1"
"ACP000e2tm"	"agedviolet:1;social_interaction:1;small_grey_duiker:1"
"ACP000e2u5"	"agedviolet:1;brookes_duiker:1"
"ACP000e2u6"	"agedviolet:1;brookes_duiker:1"
"ACP000e2u7"	""
"ACP000e2u8"	""
"ACP000e2v6"	""
"ACP000e2v8"	""
"ACP000e2vb"	""
"ACP000e2ve"	""
"ACP000e2vh"	"small_grey_duiker:2;agedviolet:1;aged_violet:1"
"ACP000e2vi"	""
"ACP000e2vj"	""
"ACP000e2vk"	""
"ACP000e2vl"	""
"ACP000e2vm"	""
"ACP000e2vn"	""
"ACP000e2vo"	""
"ACP000e2w1"	"small_grey_duiker:1"
"ACP000e2w2"	"agedviolet:1;small_grey_duiker:1"
"ACP000e2w3"	"agedviolet:1;small_grey_duiker:1"
"ACP000e2w4"	""
"ACP000e2wk"	"agedviolet:1;small_grey_duiker:1;social_interaction:1"
"ACP000e2wm"	"agedviolet:1;juvenile:1;small_grey_duiker:1"
"ACP000e2wo"	""
"ACP000e2wq"	""
"ACP000e2zp"	"agedviolet:1;jentinks_duiker:1"
"ACP000e2zq"	""
"ACP000e2zr"	""
"ACP000e2zs"	""
"ACP000e305"	"agedviolet:1;small_grey_duiker:1"
"ACP000e306"	"agedviolet:1;small_grey_duiker:1"
"ACP000e307"	""
"ACP000e308"	""
"ACP000e311"	"agedviolet:1;small_grey_duiker:1"
"ACP000e312"	""
"ACP000e313"	""
"ACP000e314"	""
"ACP000e32m"	"agedviolet:1;small_grey_duiker:1"
"ACP000e32o"	""
"ACP000e32q"	""
"ACP000e32s"	""
"ACP000e32t"	"agedviolet:1;bay_duiker:1"
"ACP000e32u"	""
"ACP000e32v"	""
"ACP000e32w"	""
"ACP000e339"	""
"ACP000e33a"	""
"ACP000e33b"	""
"ACP000e33c"	""
"ACP000e33x"	"agedviolet:1;bay_duiker:1"
"ACP000e33y"	"agedviolet:1;bay_duiker:1"
"ACP000e33z"	"agedviolet:2;bay_duiker:1;brookes-duiker:1"
"ACP000e340"	""
"ACP000e345"	"agedviolet:1;small_grey_duiker:1"
"ACP000e346"	""
"ACP000e347"	""
"ACP000e348"	""
"ACP000e34c"	"agedviolet:1;small_grey_duiker:1"
"ACP000e34e"	""
"ACP000e34f"	""
"ACP000e34h"	""
"ACP000e352"	""
"ACP000e354"	""
"ACP000e356"	""
"ACP000e358"	""
"ACP000e365"	""
"ACP000e366"	""
"ACP000e367"	""
"ACP000e368"	""
"ACP000e36d"	""
"ACP000e36e"	""
"ACP000e36f"	""
"ACP000e36g"	""
"ACP000e36t"	""
"ACP000e36u"	""
"ACP000e36v"	""
"ACP000e36w"	""
