"Video.ID"	"Vernacular.Name"	"Species"	"Umbrella.Duiker.Species"	"Umbrella.Species"	"Number.Individuals"
"TaiEast_19_loc37_20150115_EK000037"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	2
"TaiEast_19_loc37_20150115_EK000044"	"Bay_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000052"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	7
"TaiEast_19_loc37_20150115_EK000056"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20150115_EK000071"	"Human"	"human"	"human"	"human"	1
"TaiEast_19_loc37_20150115_EK000077"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000090"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20150115_EK000106"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000108"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20150115_EK000133"	"Pygmy_hippopotamus"	"hippopotamus"	"hippopotamus"	"hippopotamus"	1
"TaiEast_19_loc37_20150115_EK000144"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000149"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000153"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000160"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000170"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20150115_EK000175"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
