"Video.ID"	"Vernacular.Name"	"Species"	"Umbrella.Duiker.Species"	"Umbrella.Species"	"Number.Individuals"
"TaiEast_19_loc37_20140926_EK000078"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000081"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000083"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000084"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	4
"TaiEast_19_loc37_20140926_EK000085"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000086"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000088"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000092"	"Bat"	"other (non-primate)"	"other (non-primate)"	"other (non-primate)"	1
"TaiEast_19_loc37_20140926_EK000093"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000095"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000097"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000099"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000100"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000101"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000102"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000103"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000104"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000105"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	3
"TaiEast_19_loc37_20140926_EK000106"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000107"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000108"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000109"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000111"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000112"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000114"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000116"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000117"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000120"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000121"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000122"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000125"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000126"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000127"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000127"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_19_loc37_20140926_EK000128"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000129"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000130"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000132"	"Red_river_hog"	"red river hog"	"hog"	"hog"	1
"TaiEast_19_loc37_20140926_EK000133"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000135"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000137"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
