"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_53_loc21_20140722_EK000034"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000035"	"small grey duiker"	"small grey duiker"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000036"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000037"	"other (non-primate)"	"other (non-primate)"	0.6	0.6	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000038"	"small grey duiker"	"small grey duiker"	0.545454545454545	0.545454545454545	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000040"	"small grey duiker"	"small grey duiker"	0.8	0.8	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000041"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000042"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000043"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000044"	"small grey duiker"	"small grey duiker"	0.6	0.6	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000046"	"small grey duiker"	"small grey duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000050"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000051"	"other (primate)"	"other (primate)"	0.875	0.875	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000053"	"red duiker"	"red duiker"	0.875	0.875	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000055"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_53_loc21_20140722_EK000056"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000058"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000064"	"red duiker"	"small grey duiker"	0.875	0	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000065"	"red duiker"	"small grey duiker"	0.571428571428571	0.428571428571429	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000067"	"small grey duiker"	"small grey duiker"	0.571428571428571	0.571428571428571	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000068"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000070"	"small grey duiker"	"small grey duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000075"	"red duiker"	"red duiker"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000077"	"small grey duiker"	"small grey duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000081"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000082"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000083"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000084"	"red duiker"	"other (non-primate)"	0.833333333333333	0	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000085"	"blank"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_53_loc21_20140722_EK000088"	"red duiker"	"red duiker"	0.75	0.75	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000089"	"red duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000091"	"zebra duiker"	"zebra duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000092"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000093"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000095"	"red duiker"	"red duiker"	0.8	0.8	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000096"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000097"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000101"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000102"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000103"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
