"Clip.ID"	"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Number.Blanks"	"Number.Nonblanks"
"ACP000ga4m"	"TaiEast_52_loc31_20140721_PICT0049"	"blank"	"blank"	1	1	3	0
"ACP000ga4n"	"TaiEast_52_loc31_20140721_PICT0049"	"blank"	"blank"	1	1	3	0
"ACP000ga4o"	"TaiEast_52_loc31_20140721_PICT0049"	"blank"	"blank"	1	1	3	0
"ACP000ga55"	"TaiEast_52_loc31_20140721_PICT0004"	"duiker"	"duiker"	0.875	0.875	1	8
"ACP000ga56"	"TaiEast_52_loc31_20140721_PICT0004"	"duiker"	"duiker"	1	1	0	7
"ACP000ga57"	"TaiEast_52_loc31_20140721_PICT0004"	"duiker"	"duiker"	0.857142857142857	0.857142857142857	8	7
"ACP000ga58"	"TaiEast_52_loc31_20140721_PICT0004"	"duiker"	"blank"	1	0	3	0
"ACP000ga5c"	"TaiEast_52_loc31_20140721_PICT0006"	"duiker"	"duiker"	0.909090909090909	0.909090909090909	2	11
"ACP000ga5f"	"TaiEast_52_loc31_20140721_PICT0006"	"duiker"	"blank"	1	0	3	0
"ACP000ga5i"	"TaiEast_52_loc31_20140721_PICT0006"	"duiker"	"duiker"	0.8	0.8	1	10
"ACP000ga5k"	"TaiEast_52_loc31_20140721_PICT0006"	"duiker"	"duiker"	1	1	6	9
"ACP000ga5p"	"TaiEast_52_loc31_20140721_PICT0038"	"duiker"	"duiker"	1	1	5	8
"ACP000ga5q"	"TaiEast_52_loc31_20140721_PICT0038"	"duiker"	"blank"	1	0	3	0
"ACP000ga5s"	"TaiEast_52_loc31_20140721_PICT0038"	"duiker"	"blank"	1	0	3	0
"ACP000ga5u"	"TaiEast_52_loc31_20140721_PICT0038"	"duiker"	"blank"	1	0	3	0
"ACP000ga5x"	"TaiEast_52_loc31_20140721_PICT0037"	"duiker"	"duiker"	0.875	0.875	2	8
"ACP000ga5y"	"TaiEast_52_loc31_20140721_PICT0037"	"duiker"	"duiker"	1	1	9	6
"ACP000ga5z"	"TaiEast_52_loc31_20140721_PICT0037"	"duiker"	"duiker"	0.909090909090909	0.909090909090909	4	11
"ACP000ga60"	"TaiEast_52_loc31_20140721_PICT0037"	"duiker"	"blank"	1	0	3	0
"ACP000ga69"	"TaiEast_52_loc31_20140721_PICT0048"	"duiker"	"duiker"	0.9	0.9	4	10
"ACP000ga6a"	"TaiEast_52_loc31_20140721_PICT0048"	"duiker"	"presence undetermined"	NA	NA	12	3
"ACP000ga6b"	"TaiEast_52_loc31_20140721_PICT0053"	"duiker"	"blank"	1	0	3	0
"ACP000ga6c"	"TaiEast_52_loc31_20140721_PICT0048"	"duiker"	"duiker"	0.857142857142857	0.857142857142857	4	7
